dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.091774,7.448323,0.019375,0.775000,15.500000,310.000000,6.282019
0.050000,0.149899,7.448052,0.077500,1.162498,7.749954,-155.000912,6.275040
0.050000,0.246764,7.446703,0.174374,1.937490,15.499845,154.997812,6.263476
0.050000,0.382335,7.442941,0.309998,2.712473,15.499654,-0.003820,6.247445
0.050000,0.556523,7.434936,0.484370,3.487442,15.499379,-0.005504,6.227139
0.050000,0.769147,7.420404,0.697490,4.262393,15.499028,-0.007013,6.202857
0.050000,1.019894,7.396681,0.949357,5.037337,15.498872,-0.003132,6.175027
0.050000,1.308288,7.360830,1.239970,5.812268,15.498622,-0.004992,6.144236
0.050000,1.633668,7.309783,1.569330,6.587201,15.498660,0.000768,6.111254
0.050000,1.995200,7.240521,1.937437,7.362140,15.498782,0.002429,6.077032
0.050000,2.391923,7.150290,2.344292,8.137098,15.499174,0.007844,6.042690
0.050000,2.822837,7.036816,2.789896,8.912090,15.499825,0.013028,6.009489
0.050000,3.287035,6.898537,3.274252,9.687119,15.500584,0.015169,5.978789
0.050000,3.783862,6.734809,3.797362,10.462187,15.501360,0.015532,5.952007
0.050000,4.313089,6.546103,4.359226,11.237285,15.501956,0.011913,5.930599
0.050000,4.875086,6.334200,4.959846,12.012394,15.502178,0.004444,5.916062
0.050000,5.470966,6.102411,5.599220,12.787480,15.501723,-0.009107,5.909964
0.050000,6.102684,5.855863,6.277344,13.562490,15.500202,-0.030415,5.914010
0.050000,6.773054,5.601890,6.994211,14.337344,15.497091,-0.062226,5.930101
0.050000,7.485623,5.350551,7.749807,15.111921,15.491539,-0.111039,5.960364
0.050000,8.225636,5.120547,8.524741,15.498667,7.734918,-155.132424,6.005737
0.050000,8.976668,4.929768,9.299625,15.497692,-0.019511,-155.088575,6.065459
0.050000,9.720303,4.776850,10.058820,15.183890,-6.276040,-125.130580,6.091077
0.050000,10.482518,4.636733,10.833806,15.499730,6.316810,251.857002,6.111500
0.050000,11.247362,4.511754,11.608794,15.499760,0.000597,-126.324265,6.130719
0.050000,12.014400,4.401021,12.383784,15.499791,0.000624,0.000551,6.148693
