time,type,x,y,velocity,angle,pos,
0.0,path,-1.0000112497437404E-5,-3.7501062492800274E-11,-0.02,7.500149999728478E-6,5.0E-5,
0.0,robot,-1.0000083993133553E-4,0.4999999957498863,0,4.250078002588668E-5,0,
0.005,path,-1.599999997398612E-4,-9.600896064764722E-9,-0.04,1.2001680162843087E-4,1.9999999999999998E-4,
0.005,robot,-3.0001721768869983E-4,0.4999999507395875,0,2.2503306249524804E-4,0,
0.01,path,-4.1000010639725867E-4,-6.305261333812732E-8,-0.06,3.0761042617566403E-4,4.5E-4,
0.01,robot,-6.000868977716645E-4,0.49999979540773615,0,5.176525579948318E-4,0,
0.015,path,-7.599999619390225E-4,-2.166960531874043E-7,-0.08,5.703792169478028E-4,8.0E-4,
0.015,robot,-0.0010002648998920323,0.49999942706629313,0,9.204437451745574E-4,0,
0.02,path,-0.0012099999498306063,-5.494252976639188E-7,-0.1,9.08461567139085E-4,0.00125,
0.02,robot,-0.0015006247325984696,0.49999870979022426,0,0.0014335195006306004,0,
0.025,path,-0.001759999504383787,-1.1627933280719364E-6,-0.12,0.0013220348563298678,0.0018,
0.025,robot,-0.0021012583526074666,0.4999974742732013,0,0.0020570198523764153,0,
0.03,path,-0.002409998809954943,-2.1811022521446566E-6,-0.14,0.0018113169076658941,0.00245,
0.03,robot,-0.0028022761210587644,0.49999551764803685,0,0.0027911133948104964,0,
0.035,path,-0.0031599970798273603,-3.75151024513019E-6,-0.16,0.0023765649143276946,0.0032,
0.035,robot,-0.003603806750013861,0.49999260327290523,0,0.003635996159350114,0,
0.04,path,-0.004009994065857317,-6.04416283751406E-6,-0.18,0.00301807683679689,0.00405,
0.04,robot,-0.004505997242762886,0.4999884604816292,0,0.004591892944676702,0,
0.045,path,-0.004959988590797194,-9.252339080159742E-6,-0.2,0.003736190598089717,0.005,
0.045,robot,-0.005509012822260597,0.4999827842992705,0,0.005659056430901216,0,
0.05,path,-0.006009979630652136,-1.3592623775472018E-5,-0.22,0.004531285241833327,0.00605,
0.05,robot,-0.006613036853111415,0.4999752351211562,0,0.006837768244947879,0,
0.055,path,-0.007159965410309138,-1.9305094780604215E-5,-0.24,0.0054037806310960335,0.0072,
0.055,robot,-0.007818270751267082,0.4999654383562384,0,0.008128338553020741,0,
0.06,path,-0.008409943660849618,-2.665353429397426E-5,-0.26,0.006354138064567305,0.00845,
0.06,robot,-0.009124933885072324,0.49995298403354715,0,0.009531106558077934,0,
0.065,path,-0.009759911768210448,-3.592566203556788E-5,-0.28,0.007382860853326179,0.0098,
0.065,robot,-0.01053326346671592,0.4999374263711855,0,0.011046440944870738,0,
0.07,path,-0.011209866118402734,-4.7433384445453274E-5,-0.3,0.008490494326387044,0.01125,
0.07,robot,-0.012043514430266534,0.49991828330816357,0,0.012674739740682521,0,
0.075,path,-0.012759802080054606,-6.151306790386831E-5,-0.32,0.00967762635914493,0.012799999999999999,
0.075,robot,-0.01365595929926242,0.49989503599792895,0,0.014416430686226119,0,
0.08,path,-0.014409714209137241,-7.852583651876167E-5,-0.34,0.01094488811379879,0.01445,
0.08,robot,-0.015370888044078266,0.4998671282625921,0,0.016271971805398664,0,
0.085,path,-0.016159596010018398,-9.885788893269389E-5,-0.36,0.012292954482011176,0.0162,
0.085,robot,-0.017188607925758336,0.4998339660076476,0,0.018241851664157514,0,
0.09,path,-0.01800943933144239,-1.2292083175578956E-4,-0.38,0.013722544283873539,0.01805,
0.09,robot,-0.019109443323720988,0.4997949165970941,0,0.020326589372910393,0,
0.095,path,-0.01995923475696615,-1.5115204673389095E-4,-0.4,0.015234421272043885,0.02,
0.095,robot,-0.021133735554703093,0.4997493081866924,0,0.02252673538051458,0,
0.1,path,-0.022008971090668482,-1.8401507045703001E-4,-0.42,0.01682939447862708,0.02205,
0.1,robot,-0.023261842672672624,0.4996964290159169,0,0.02484287159828528,0,
0.105,path,-0.024158635324873428,-2.220000030863211E-4,-0.44,0.018508318972771498,0.0242,
0.105,robot,-0.02549413925559061,0.4996355266569262,0,0.027275611921246733,0,
0.11,path,-0.026408212024110197,-2.6562393034979676E-4,-0.46,0.02027209620089865,0.02645,
0.11,robot,-0.02783101617074547,0.4995658072207993,0,0.029825602319588404,0,
0.115,path,-0.028757683810092353,-3.154313893291589E-4,-0.48,0.022121675225505566,0.028800000000000003,
0.115,robot,-0.03027288033152726,0.4994864345177916,0,0.03249352181393058,0,
0.12,path,-0.03120703045771741,-3.719948328521957E-4,-0.5,0.024058052914324612,0.03125,
0.12,robot,-0.03282015442415903,0.4993965291735842,0,0.03528008238987234,0,
0.125,path,-0.03375622870481128,-4.359151295155392E-4,-0.52,0.026082274720327092,0.0338,
0.125,robot,-0.03547327661813605,0.4992951676989391,0,0.03818602948943796,0,
0.13,path,-0.036405252435619186,-5.078220996691737E-4,-0.54,0.028195435796468882,0.036449999999999996,
0.13,robot,-0.03823270026045211,0.499181381510689,0,0.04121214282301438,0,
0.135,path,-0.039154071906215705,-5.883750533534488E-4,-0.56,0.03039868138462065,0.0392,
0.135,robot,-0.041098893536255836,0.4990541559054722,0,0.04435923644487556,0,
0.14,path,-0.04200265327234442,-6.782633575059607E-4,-0.58,0.03269320746989113,0.04205,
0.14,robot,-0.04407233910477947,0.49891242898429383,0,0.04762815908104784,0,
0.145,path,-0.04495095916477253,-7.782070633588385E-4,-0.6,0.03508026231120631,0.045,
0.145,robot,-0.04715353372417912,0.4987550905234232,0,0.05101979531672674,0,
0.15,path,-0.047998946944519144,-8.889574860210525E-4,-0.62,0.03756114612979733,0.048049999999999995,
0.15,robot,-0.0503429878138223,0.49858098079826685,0,0.05453506493794382,0,
0.155,path,-0.05114656937300542,-0.0010112978869794044,-0.64,0.0401372127690669,0.051199999999999996,
0.155,robot,-0.05364122501721318,0.4983888893502225,0,0.058174924223236384,0,
0.16,path,-0.05439377399829112,-0.0011460441442038595,-0.66,0.042809870345652534,0.05445,
0.16,robot,-0.05704878171480926,0.49817755370055705,0,0.06194036621938368,0,
0.165,path,-0.057740501944184106,-0.001294045419055409,-0.68,0.045580581419257804,0.0578,
0.165,robot,-0.06056620648404076,0.4979456580123112,0,0.06583242052863633,0,
0.17,path,-0.061186688591436,-0.001456184928933936,-0.7,0.048450864736024446,0.06125,
0.17,robot,-0.06419405955340983,0.49769183169073805,0,0.06985215464791615,0,
0.17500000000000002,path,-0.06473226225542209,-0.0016333806636408127,-0.72,0.051422295334064394,0.0648,
0.17500000000000002,robot,-0.06793291217614363,0.4974146479311209,0,0.07400067367118471,0,
0.18,path,-0.06837714373370482,-0.001826586162096147,-0.74,0.054496505366695036,0.06845,
0.18,robot,-0.07178334596805286,0.4971126222077439,0,0.07827912069531325,0,
0.185,path,-0.07212124600103866,-0.0020367913259608655,-0.76,0.05767518505498437,0.0722,
0.185,robot,-0.07574595219733105,0.4967842107028907,0,0.08268867734484983,0,
0.19,path,-0.07596447348212199,-0.0022650232395777584,-0.78,0.06096008328252056,0.07605,
0.19,robot,-0.07982133100767853,0.49642780867743436,0,0.08723056393400865,0,
0.195,path,-0.07990672109198119,-0.00251234699958168,-0.8,0.06435300797422494,0.08,
0.195,robot,-0.08401009056952055,0.4960417487835315,0,0.09190603940842701,0,
0.2,path,-0.08394787390686168,-0.0027798666073662257,-0.82,0.06785582699305381,0.08405,
0.2,robot,-0.08831284617833456,0.4956242993147101,0,0.09671640179344589,0,
0.20500000000000002,path,-0.08808780642194985,-0.003068725865462571,-0.84,0.0714704686601273,0.0882,
0.20500000000000002,robot,-0.09273021926865424,0.4951736623965669,0,0.10166298826478826,0,
0.21,path,-0.09232638166358414,-0.0033801092884403264,-0.86,0.07519892210916002,0.09245,
0.21,robot,-0.09726283634053974,0.49468797211859605,0,0.10674717505245652,0,
0.215,path,-0.09666345004935098,-0.0037152430162865208,-0.88,0.07904323736463681,0.0968,
0.215,robot,-0.10191132778486617,0.4941652926095345,0,0.11197037707101377,0,
0.22,path,-0.10109884901160911,-0.004075395807712642,-0.9,0.08300552603188027,0.10124999999999999,
0.22,robot,-0.10667632663601223,0.4936036160500806,0,0.11733404815337928,0,
0.225,path,-0.10563240183518197,-0.004461879999455,-0.92,0.08708796122488272,0.10579999999999999,
0.225,robot,-0.11155846719252442,0.4930008606327255,0,0.12283968053493127,0,
0.23,path,-0.11026391663801893,-0.004876052494631723,-0.94,0.09129277752764331,0.11044999999999999,
0.23,robot,-0.11655838352335976,0.49235486846737064,0,0.12848880437551974,0,
0.23500000000000001,path,-0.11499318528588569,-0.005319315763788565,-0.96,0.09562227079026098,0.1152,
0.23500000000000001,robot,-0.12167670784289229,0.4916634034363277,0,0.13428298712591966,0,
0.24,path,-0.11981998256632256,-0.005793118888872684,-0.98,0.1000787980427873,0.12004999999999999,
0.24,robot,-0.12691406875884426,0.49092414899865083,0,0.14022383301916697,0,
0.245,path,-0.12474406446536077,-0.006298958536505368,-1.0,0.10466477644336347,0.12499999999999999,
0.245,robot,-0.13227108932800719,0.4901347059594656,0,0.1463129816265262,0,
0.25,path,-0.12976516764679474,-0.006838380061345226,-1.02,0.10938268317321143,0.13005,
0.25,robot,-0.1377483850010871,0.4892925901906465,0,0.15255210735821068,0,
0.255,path,-0.1348830075626905,-0.007412978483389343,-1.04,0.11423505387972632,0.1352,
0.255,robot,-0.14334656132555562,0.48839523033232307,0,0.15894291755986312,0,
0.26,path,-0.1400972770329501,-0.008024399511894806,-1.06,0.11922448133147734,0.14045,
0.26,robot,-0.14906621146951599,0.4874399654700399,0,0.16548715084157653,0,
0.265,path,-0.14540764554911573,-0.008674340661692842,-1.08,0.12435361453628246,0.14579999999999999,
0.265,robot,-0.1549079135781512,0.4864240427869796,0,0.17218657588604772,0,
0.27,path,-0.15081375693438376,-0.00936455217841868,-1.1,0.1296251560238364,0.15125,
0.27,robot,-0.16087222781214094,0.48534461523291134,0,0.1790429884950765,0,
0.275,path,-0.1563152278176032,-0.0100968380434181,-1.12,0.13504185959025117,0.1568,
0.275,robot,-0.1669596931756105,0.48419873919822903,0,0.1860582091263986,0,
0.28,path,-0.16191164647903417,-0.010873057022812146,-1.14,0.14060652808453833,0.16244999999999998,
0.28,robot,-0.17317082410518436,0.4829833722053131,0,0.1932340805125797,0,
0.28500000000000003,path,-0.16760257053902056,-0.011695123547751693,-1.16,0.14632200968819298,0.1682,
0.28500000000000003,robot,-0.17950610669936704,0.4816953706598785,0,0.2005724638600477,0,
0.29,path,-0.17338752526166135,-0.012565008647282203,-1.18,0.15219119437899042,0.17404999999999998,
0.29,robot,-0.18596599467322175,0.48033148765890027,0,0.20807523528309776,0,
0.295,path,-0.17926600173899324,-0.013484740837114761,-1.2,0.15821700982773734,0.18,
0.295,robot,-0.1925509049763451,0.4788883708849259,0,0.21574428174686452,0,
0.3,path,-0.18523745454608406,-0.014456406886749512,-1.22,0.16440241625339258,0.18605,
0.3,robot,-0.1992612130159951,0.47736256062369853,0,0.22358149606717828,0,
0.305,path,-0.19130129976186253,-0.015482152589965437,-1.24,0.17075040109534623,0.19219999999999998,
0.305,robot,-0.20609724752626374,0.4757504879181087,0,0.23158877180876575,0,
0.31,path,-0.1974569127404971,-0.016564183438086272,-1.26,0.17726397283109163,0.19845,
0.31,robot,-0.2130592850173139,0.47404847290142765,0,0.2397679974377143,0,
0.315,path,-0.20370362569589495,-0.01770476518888768,-1.28,0.18394615393979308,0.20479999999999998,
0.315,robot,-0.2201475437818005,0.4722527233480684,0,0.248121049738259,0,
0.32,path,-0.21004072544444327,-0.018906224380221937,-1.3,0.19079997332194631,0.21125,
0.32,robot,-0.22736217746562443,0.4703593334739712,0,0.2566497868023367,0,
0.325,path,-0.21646745050103947,-0.020170948625331322,-1.32,0.19782845725138953,0.2178,
0.325,robot,-0.23470326810635173,0.4683642830560059,0,0.26535603970989957,0,
0.33,path,-0.22298298906346609,-0.021501386965218403,-1.34,0.20503462045811371,0.22444999999999998,
0.33,robot,-0.24217081876168256,0.4662634368759817,0,0.27424160445029666,0,
0.335,path,-0.22958647565739243,-0.022900049832038194,-1.36,0.21242145485819997,0.2312,
0.335,robot,-0.2497647454970421,0.4640525446116619,0,0.28330823170154007,0,
0.34,path,-0.2362769887513681,-0.024369509054897973,-1.38,0.21999191838468857,0.23804999999999998,
0.34,robot,-0.25748486893510447,0.4617272411681707,0,0.2925576168401864,0,
0.34500000000000003,path,-0.24305354781069233,-0.025912397590805214,-1.4,0.22774892218732967,0.245,
0.34500000000000003,robot,-0.26533090520993696,0.4592830475589513,0,0.3019913885236723,0,
0.35000000000000003,path,-0.24991511033908848,-0.027531409065087872,-1.42,0.23569531673426747,0.25205,
0.35000000000000003,robot,-0.273302456366727,0.45671537239402377,0,0.31161109636814077,0,
0.355,path,-0.2568605688765041,-0.02922929709411816,-1.44,0.2438338767225896,0.2592,
0.355,robot,-0.28139900020146547,0.45401951405250374,0,0.32141819764123924,0,
0.36,path,-0.2638887479327414,-0.031008874362248973,-1.46,0.2521672847173475,0.26644999999999996,
0.36,robot,-0.2896198795414677,0.451190663621695,0,0.3314140429014158,0,
0.365,path,-0.27099840087141586,-0.03287301143071185,-1.48,0.2606981134818218,0.2738,
0.365,robot,-0.2979642909789012,0.448223908688533,0,0.34159986055610136,0,
0.37,path,-0.2781882069797489,-0.03482463531607151,-1.5,0.26942880723816165,0.28125,
0.37,robot,-0.30643127310988916,0.4451142380590911,0,0.35197674057343636,0,
0.375,path,-0.2854567679945581,-0.036866727615824574,-1.52,0.27836166093831816,0.2888,
0.375,robot,-0.3150196942119682,0.44185654753982195,0,0.36254561647679473,0,
0.38,path,-0.2928026054151298,-0.03900232250935745,-1.54,0.28749879912518894,0.29645,
0.38,robot,-0.32372823958062596,0.4384456468023148,0,0.37330724713190844,0,
0.385,path,-0.30022415705307093,-0.04123450418333238,-1.56,0.2968421524839435,0.30419999999999997,
0.385,robot,-0.33255539837248027,0.4348762675125525,0,0.38426219652081267,0,
0.39,path,-0.3077197740520005,-0.04356640398468373,-1.58,0.3063934335763645,0.31205,
0.39,robot,-0.34149945019077044,0.43114307275431574,0,0.395410812925627,0,
0.395,path,-0.31528771829365126,-0.046001197271238414,-1.6,0.31615411170651386,0.32,
0.395,robot,-0.35055845150415577,0.42724066782889797,0,0.40675320746941307,0,
0.4,path,-0.3229261591404992,-0.04854209959667788,-1.62,0.326125385604898,0.32805,
0.4,robot,-0.3597302218398591,0.4231636125961249,0,0.41828923076828955,0,
0.405,path,-0.3306331710015825,-0.05119236265800939,-1.64,0.33630815587627483,0.3362,
0.405,robot,-0.3690123301026873,0.4189064353325123,0,0.430018449533694,0,
0.41000000000000003,path,-0.33840673074155775,-0.05395526967276493,-1.66,0.3467029960466239,0.34445,
0.41000000000000003,robot,-0.37840208101823175,0.41446364823924,0,0.4419401220137932,0,
0.41500000000000004,path,-0.3462447156314615,-0.05683413038939783,-1.68,0.3573101232291105,0.3528,
0.41500000000000004,robot,-0.38789650198043923,0.40982976459713344,0,0.4540531732282902,0,
0.42,path,-0.35414490111416974,-0.05983227544879752,-1.7,0.3681293675801882,0.36125,
0.42,robot,-0.3974923303672608,0.40499931766714725,0,0.46635616920186845,0,
0.425,path,-0.36210495908805657,-0.0629530503123924,-1.72,0.3791601416442485,0.3698,
0.425,robot,-0.40718600164936747,0.39996688129290114,0,0.478847291217985,0,
0.43,path,-0.3701224568529531,-0.06619980881027404,-1.74,0.3904014100163682,0.37845,
0.43,robot,-0.41697363855632563,0.39472709216475754,0,0.4915243104770482,0,
0.435,path,-0.3781948561980131,-0.06957590609731287,-1.76,0.4018516588539214,0.3872,
0.435,robot,-0.42685104145284447,0.38927467375141594,0,0.5043845626960635,0,
0.44,path,-0.3863195125824556,-0.07308469095768799,-1.78,0.4135088654101904,0.39605,
0.44,robot,-0.4368136801652521,0.38360446184411784,0,0.5174249227917167,0,
0.445,path,-0.3944936757174575,-0.07672949800548909,-1.8,0.4253704697672056,0.405,
0.445,robot,-0.4468566877911257,0.3777114314382292,0,0.5306417816631062,0,
0.45,path,-0.4027144897501419,-0.08051363902627298,-1.82,0.43743334655952504,0.41405000000000003,
0.45,robot,-0.45697485642079905,0.3715907250060154,0,0.5440310229742743,0,
0.455,path,-0.4109789948644549,-0.08444039424477623,-1.84,0.4496937796634577,0.4232,
0.455,robot,-0.46716263541141556,0.36523768174214827,0,0.5575880026948796,0,
